group,trend,location,type,choice,reason,certainty,time,order,replicate,id,detect
A,all cities,9,Geography,9,4,2,2019-10-25 02:28:55,5,4,A7,1
A,all cities,12,Hexagons,12,3,4,2019-10-25 02:29:21,6,1,A7,1
A,three cities,12,Geography,4,4,2,2019-10-25 02:30:20,7,9,A7,0
A,NW-SE,6,Hexagons,6,3,3,2019-10-25 02:30:41,8,8,A7,1
A,three cities,9,Hexagons,9,1,4,2019-10-25 02:31:08,9,12,A7,1
A,NW-SE,3,Geography,3,2,5,2019-10-25 02:31:23,10,6,A7,1
A,NW-SE,2,Geography,2,2,5,2019-10-25 02:31:45,11,5,A7,1
A,all cities,4,Hexagons,4,2,3,2019-10-25 02:32:26,12,3,A7,1
A,all cities,3,Geography,11,2,2,2019-10-25 00:50:52,1,2,A8,0
A,three cities,8,Hexagons,8,1,3,2019-10-25 00:51:10,2,11,A8,1
A,NW-SE,5,Hexagons,5,4,3,2019-10-25 00:52:36,3,7,A8,1
A,all cities,4,Hexagons,4,4,2,2019-10-25 00:53:39,4,3,A8,1
A,three cities,12,Geography,11,2,2,2019-10-25 00:54:36,5,9,A8,0
A,all cities,9,Geography,1,2,4,2019-10-25 00:55:56,6,4,A8,0
A,NW-SE,3,Geography,3,2,1,2019-10-25 00:56:53,7,6,A8,1
A,NW-SE,6,Hexagons,6,4,3,2019-10-25 00:58:14,8,8,A8,1
A,three cities,5,Geography,4,1,2,2019-10-25 00:59:15,9,10,A8,0
A,all cities,12,Hexagons,12,1,3,2019-10-25 01:00:16,10,1,A8,1
A,three cities,9,Hexagons,8,4,3,2019-10-25 01:02:18,11,12,A8,0
A,NW-SE,2,Geography,2,2,2,2019-10-25 01:02:44,12,5,A8,1
A,all cities,12,Hexagons,12,2,5,2019-10-24 04:08:31,1,1,A9,1
A,all cities,4,Hexagons,4,1,4,2019-10-24 04:09:21,2,3,A9,1
A,three cities,5,Geography,4,2,4,2019-10-24 04:10:20,3,10,A9,0
A,all cities,3,Geography,3,4,5,2019-10-24 04:10:38,4,2,A9,1
A,three cities,9,Hexagons,7,0,4,2019-10-24 04:11:22,5,12,A9,0
A,NW-SE,5,Hexagons,5,2,4,2019-10-24 04:12:03,6,7,A9,1
A,three cities,12,Geography,12,2,3,2019-10-24 04:12:46,7,9,A9,1
A,all cities,9,Geography,1,2,4,2019-10-24 04:12:59,8,4,A9,0
A,NW-SE,6,Hexagons,7,2,3,2019-10-24 04:13:32,9,8,A9,0
A,NW-SE,2,Geography,1,0,3,2019-10-24 04:14:01,10,5,A9,0
A,three cities,8,Hexagons,8,1,3,2019-10-24 04:14:33,11,11,A9,1
A,NW-SE,3,Geography,6,1,4,2019-10-24 04:14:53,12,6,A9,0
A,NW-SE,3,Geography,3,1,4,2019-10-24 07:20:11,1,6,A10,1
A,three cities,9,Hexagons,9,1,4,2019-10-24 07:20:41,2,12,A10,1
A,NW-SE,6,Hexagons,4,1,4,2019-10-24 07:21:17,3,8,A10,0
A,all cities,9,Geography,1,2,4,2019-10-24 07:21:39,4,4,A10,0
A,all cities,4,Hexagons,4,1,4,2019-10-24 07:22:11,5,3,A10,1
A,three cities,8,Hexagons,8,1,4,2019-10-24 07:22:23,6,11,A10,1
A,NW-SE,5,Hexagons,6,0,4,2019-10-24 07:22:36,7,7,A10,0
A,three cities,5,Geography,4,2,4,2019-10-24 07:23:00,8,10,A10,0
A,NW-SE,2,Geography,9,0,4,2019-10-24 07:23:12,9,5,A10,0
A,three cities,12,Geography,2,0,4,2019-10-24 07:23:21,10,9,A10,0
A,all cities,12,Hexagons,12,0,4,2019-10-24 07:23:31,11,1,A10,1
A,all cities,3,Geography,11,3,4,2019-10-24 07:24:09,12,2,A10,0
B,NW-SE,5,Geography,5,1,4,2019-10-28 01:33:18,1,7,B11,1
B,three cities,9,Geography,4,2,3,2019-10-28 01:33:37,2,12,B11,0
B,three cities,12,Hexagons,12,0,1,2019-10-28 01:34:11,3,9,B11,1
B,three cities,8,Geography,2,2,2,2019-10-28 01:34:42,4,11,B11,0
B,NW-SE,2,Hexagons,2,3,3,2019-10-28 01:35:14,5,5,B11,1
B,all cities,12,Geography,8,1,3,2019-10-28 01:35:34,6,1,B11,0
B,all cities,3,Hexagons,3,1,2,2019-10-28 01:36:02,7,2,B11,1
B,all cities,4,Geography,11,2,3,2019-10-28 01:36:16,8,3,B11,0
B,NW-SE,6,Geography,6,2,4,2019-10-28 01:36:26,9,8,B11,1
B,three cities,5,Hexagons,1,0,1,2019-10-28 01:36:39,10,10,B11,0
B,all cities,9,Hexagons,0,0,1,2019-10-28 01:36:48,11,4,B11,0
B,NW-SE,3,Hexagons,3,2,3,2019-10-28 01:37:01,12,6,B11,1
B,NW-SE,6,Geography,6,2,5,2019-10-25 13:50:39,1,8,B12,1
B,three cities,12,Hexagons,12,1,4,2019-10-25 13:51:19,2,9,B12,1
B,NW-SE,3,Hexagons,3,1,4,2019-10-25 13:51:51,3,6,B12,1
B,three cities,9,Geography,6,2,5,2019-10-25 13:52:19,4,12,B12,0
B,all cities,12,Geography,6,1,4,2019-10-25 13:53:04,5,1,B12,0
B,all cities,3,Hexagons,3,1,4,2019-10-25 13:53:23,6,2,B12,1
B,NW-SE,2,Hexagons,2,2,4,2019-10-25 13:53:46,7,5,B12,1
B,all cities,4,Geography,11,3,3,2019-10-25 13:54:09,8,3,B12,0
B,three cities,8,Geography,5,1,5,2019-10-25 13:54:30,9,11,B12,0
B,three cities,5,Hexagons,1,0,1,2019-10-25 13:55:07,10,10,B12,0
B,NW-SE,5,Geography,5,3,5,2019-10-25 13:55:28,11,7,B12,1
B,all cities,9,Hexagons,9,1,4,2019-10-25 13:56:02,12,4,B12,1
B,three cities,8,Geography,2,1,5,2019-11-02 00:40:21,1,11,B13,0
B,NW-SE,6,Geography,10,1,4,2019-11-02 00:40:33,2,8,B13,0
B,all cities,4,Geography,11,2,4,2019-11-02 00:40:45,3,3,B13,0
B,three cities,9,Geography,4,2,3,2019-11-02 00:40:53,4,12,B13,0
B,NW-SE,5,Geography,5,1,3,2019-11-02 00:41:02,5,7,B13,1
B,all cities,3,Hexagons,2,0,1,2019-11-02 00:41:14,6,2,B13,0
B,three cities,12,Hexagons,12,1,2,2019-11-02 00:41:31,7,9,B13,1
B,all cities,12,Geography,6,2,2,2019-11-02 00:41:53,8,1,B13,0
B,all cities,9,Hexagons,9,1,3,2019-11-02 00:42:06,9,4,B13,1
B,NW-SE,3,Hexagons,1,1,2,2019-11-02 00:42:15,10,6,B13,0
B,NW-SE,2,Hexagons,4,2,3,2019-11-02 00:42:26,11,5,B13,0
B,three cities,5,Hexagons,2,2,1,2019-11-02 00:42:38,12,10,B13,0
B,all cities,4,Geography,11,2,4,2019-10-31 01:42:34,1,3,B14,0
B,all cities,12,Geography,6,2,3,2019-10-31 01:43:16,2,1,B14,0
B,NW-SE,5,Geography,5,1,4,2019-10-31 01:43:39,3,7,B14,1
B,NW-SE,6,Geography,6,1,3,2019-10-31 01:43:56,4,8,B14,1
B,three cities,8,Geography,5,1,3,2019-10-31 01:44:15,5,11,B14,0
B,three cities,9,Geography,4,2,3,2019-10-31 01:44:31,6,12,B14,0
B,all cities,9,Hexagons,4,2,3,2019-10-31 01:44:32,7,4,B14,0
B,all cities,3,Hexagons,3,2,3,2019-10-31 01:45:19,8,2,B14,1
B,three cities,12,Hexagons,12,1,3,2019-10-31 01:45:53,9,9,B14,1
B,three cities,5,Hexagons,5,1,3,2019-10-31 01:46:09,10,10,B14,1
B,NW-SE,3,Hexagons,3,2,3,2019-10-31 01:46:26,11,6,B14,1
B,NW-SE,2,Hexagons,2,2,3,2019-10-31 01:46:56,12,5,B14,1
B,all cities,4,Geography,11,1,1,2019-10-31 04:44:22,1,3,B15,0
B,all cities,12,Geography,4,4,1,2019-10-31 04:45:12,2,1,B15,0
B,three cities,8,Geography,5,3,2,2019-10-31 04:45:42,3,11,B15,0
B,all cities,9,Hexagons,9,1,2,2019-10-31 04:46:32,4,4,B15,1
